M,N,perFactorN,K,c,rho,extraction,R,rec90,rec90_lo,rec90_hi,meanMinPhi
20,12,4,3,0.4,0,pca,400,0.000,0.000,0.010,0.676
20,12,4,3,0.4,0,centroid,400,0.000,0.000,0.010,0.630
20,12,4,3,0.4,0.4,pca,400,0.000,0.000,0.010,0.624
20,12,4,3,0.4,0.4,centroid,400,0.003,0.000,0.014,0.549
20,12,4,3,0.6,0,pca,400,0.292,0.250,0.339,0.879
20,12,4,3,0.6,0,centroid,400,0.203,0.166,0.245,0.802
20,12,4,3,0.6,0.4,pca,400,0.253,0.212,0.297,0.869
20,12,4,3,0.6,0.4,centroid,400,0.163,0.130,0.202,0.729
20,12,4,3,0.8,0,pca,400,1.000,0.990,1.000,0.954
20,12,4,3,0.8,0,centroid,400,0.860,0.823,0.891,0.826
20,12,4,3,0.8,0.4,pca,400,0.990,0.975,0.996,0.953
20,12,4,3,0.8,0.4,centroid,400,0.775,0.732,0.813,0.753
20,18,6,3,0.4,0,pca,400,0.015,0.007,0.032,0.767
20,18,6,3,0.4,0,centroid,400,0.013,0.005,0.029,0.753
20,18,6,3,0.4,0.4,pca,400,0.013,0.005,0.029,0.726
20,18,6,3,0.4,0.4,centroid,400,0.005,0.001,0.018,0.690
20,18,6,3,0.6,0,pca,400,0.838,0.798,0.870,0.920
20,18,6,3,0.6,0,centroid,400,0.752,0.708,0.792,0.869
20,18,6,3,0.6,0.4,pca,400,0.745,0.700,0.785,0.909
20,18,6,3,0.6,0.4,centroid,400,0.672,0.625,0.717,0.837
20,18,6,3,0.8,0,pca,400,1.000,0.990,1.000,0.969
20,18,6,3,0.8,0,centroid,400,0.950,0.924,0.967,0.918
20,18,6,3,0.8,0.4,pca,400,1.000,0.990,1.000,0.969
20,18,6,3,0.8,0.4,centroid,400,0.890,0.856,0.917,0.861
20,24,8,3,0.4,0,pca,400,0.083,0.059,0.114,0.823
20,24,8,3,0.4,0,centroid,400,0.072,0.051,0.102,0.812
20,24,8,3,0.4,0.4,pca,400,0.063,0.043,0.091,0.783
20,24,8,3,0.4,0.4,centroid,400,0.065,0.045,0.094,0.749
20,24,8,3,0.6,0,pca,400,0.975,0.955,0.986,0.938
20,24,8,3,0.6,0,centroid,400,0.958,0.933,0.973,0.924
20,24,8,3,0.6,0.4,pca,400,0.958,0.933,0.973,0.934
20,24,8,3,0.6,0.4,centroid,400,0.920,0.889,0.943,0.901
20,24,8,3,0.8,0,pca,400,1.000,0.990,1.000,0.976
20,24,8,3,0.8,0,centroid,400,0.980,0.961,0.990,0.956
20,24,8,3,0.8,0.4,pca,400,1.000,0.990,1.000,0.976
20,24,8,3,0.8,0.4,centroid,400,0.953,0.927,0.969,0.928
20,36,12,3,0.4,0,pca,400,0.497,0.449,0.546,0.890
20,36,12,3,0.4,0,centroid,400,0.507,0.459,0.556,0.889
20,36,12,3,0.4,0.4,pca,400,0.410,0.363,0.459,0.872
20,36,12,3,0.4,0.4,centroid,400,0.383,0.336,0.431,0.845
20,36,12,3,0.6,0,pca,400,1.000,0.990,1.000,0.957
20,36,12,3,0.6,0,centroid,400,0.990,0.975,0.996,0.949
20,36,12,3,0.6,0.4,pca,400,0.998,0.986,1.000,0.955
20,36,12,3,0.6,0.4,centroid,400,0.968,0.945,0.981,0.926
20,36,12,3,0.8,0,pca,400,1.000,0.990,1.000,0.984
20,36,12,3,0.8,0,centroid,400,0.993,0.978,0.997,0.976
20,36,12,3,0.8,0.4,pca,400,1.000,0.990,1.000,0.983
20,36,12,3,0.8,0.4,centroid,400,0.970,0.948,0.983,0.953
40,12,4,3,0.4,0,pca,400,0.000,0.000,0.010,0.789
40,12,4,3,0.4,0,centroid,400,0.000,0.000,0.010,0.678
40,12,4,3,0.4,0.4,pca,400,0.000,0.000,0.010,0.768
40,12,4,3,0.4,0.4,centroid,400,0.000,0.000,0.010,0.635
40,12,4,3,0.6,0,pca,400,0.540,0.491,0.588,0.900
40,12,4,3,0.6,0,centroid,400,0.345,0.300,0.393,0.739
40,12,4,3,0.6,0.4,pca,400,0.532,0.484,0.581,0.899
40,12,4,3,0.6,0.4,centroid,400,0.367,0.322,0.416,0.740
40,12,4,3,0.8,0,pca,400,1.000,0.990,1.000,0.958
40,12,4,3,0.8,0,centroid,400,0.818,0.777,0.852,0.781
40,12,4,3,0.8,0.4,pca,400,1.000,0.990,1.000,0.958
40,12,4,3,0.8,0.4,centroid,400,0.735,0.690,0.776,0.703
40,18,6,3,0.4,0,pca,400,0.018,0.009,0.036,0.850
40,18,6,3,0.4,0,centroid,400,0.013,0.005,0.029,0.818
40,18,6,3,0.4,0.4,pca,400,0.015,0.007,0.032,0.842
40,18,6,3,0.4,0.4,centroid,400,0.007,0.003,0.022,0.743
40,18,6,3,0.6,0,pca,400,0.985,0.968,0.993,0.930
